"","district","weekstartdate","anycases","totalcases","est"
"20047","beadle",2012-02-26,0,0,1.10923053825354e-05
"20048","beadle",2012-06-17,0,0,0.0553779886028165
"20049","mcpherson",2012-07-15,0,0,0.0818622556462338
"20050","yankton",2012-04-08,0,0,0.0006624309093242
"20051","yankton",2012-04-15,0,0,0.00121516906829528
"20052","beadle",2012-07-08,0,0,0.184230094011601
"20053","beadle",2012-07-15,0,0,0.254525676340515
"20054","beadle",2012-07-22,0,0,0.35343540198799
"20055","beadle",2012-07-29,0,0,0.468210818917107
"20056","edmunds",2012-04-22,0,0,0.00170696643232295
"20057","mcpherson",2012-06-10,0,0,0.0116253258956393
"20058","mcpherson",2012-09-16,0,0,0.0510852481210803
"20059","mcpherson",2012-09-23,0,0,0.0254857788611675
"20060","mcpherson",2012-07-01,0,0,0.0300155734199356
"20061","beadle",2012-03-04,0,0,1.06639058630185e-05
"20062","mcpherson",2012-10-14,0,0,0.00299399609299515
"20063","mcpherson",2012-10-21,0,0,0.00173209552526589
"20064","mcpherson",2012-10-28,0,0,0.000748038679878631
"20065","mcpherson",2012-11-04,0,0,0.000361683328994663
"20066","mcpherson",2012-11-11,0,0,0.000161495986016656
"20067","mcpherson",2012-11-18,0,0,7.7973306186915e-05
"20068","mcpherson",2012-11-25,0,0,3.83828020777503e-05
"20069","mcpherson",2012-12-02,0,0,1.76701167575797e-05
"20070","mcpherson",2012-12-09,0,0,1.05281508953652e-05
"20071","mcpherson",2012-12-16,0,0,4.47315646979147e-06
"20072","mcpherson",2012-12-23,0,0,1.77829967242921e-06
"20073","mcpherson",2012-12-30,0,0,7.67887819862258e-07
"20074","mcpherson",2012-07-08,0,0,0.0523349545185878
"20075","douglas",2012-04-22,0,0,0.000890176399986093
"20076","douglas",2012-04-29,0,0,0.00152493058638406
"20077","douglas",2012-05-06,0,0,0.00323295309417656
"20078","douglas",2012-05-13,0,0,0.00404964157022741
"20079","douglas",2012-05-20,0,0,0.00526086340921965
"20080","douglas",2012-05-27,0,0,0.00744459372573749
"20081","douglas",2012-06-03,0,0,0.00757528797323697
"20082","douglas",2012-06-10,0,0,0.0100199894543541
"20083","douglas",2012-06-17,0,0,0.011389630970779
"20084","douglas",2012-06-24,0,0,0.0155232325522683
"20085","douglas",2012-07-01,0,0,0.0222869947617969
"20086","douglas",2012-07-08,0,0,0.0373922053105472
"20087","douglas",2012-04-15,0,0,0.000538130565031464
"20088","douglas",2012-07-22,0,0,0.0835929198746899
"20089","douglas",2012-07-29,0,0,0.12486588182642
